Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,WHH,WHD,WHA
18/08/2023,Werder Bremen,Bayern Munich,A,7.5,6.5,1.3,8,5.5,1.22
19/08/2023,Augsburg,M'gladbach,D,2.7,3.6,2.45,2.5,3.4,2.3
19/08/2023,Hoffenheim,Freiburg,A,2.3,3.6,2.9,2.1,3.4,2.8
19/08/2023,Leverkusen,RB Leipzig,H,2.45,3.6,2.75,2.3,3.25,2.6
19/08/2023,Stuttgart,Bochum,H,1.65,4.33,4.5,1.57,3.9,4.33
19/08/2023,Wolfsburg,Heidenheim,H,1.6,4.2,5.25,1.5,4,4.75
19/08/2023,Dortmund,FC Koln,H,1.4,5,7,1.33,4.75,6
20/08/2023,Union Berlin,Mainz,H,1.95,3.5,3.9,1.85,3.3,3.6
20/08/2023,Ein Frankfurt,Darmstadt,H,1.36,5.25,7.5,1.3,4.5,7.5
25/08/2023,RB Leipzig,Stuttgart,H,1.5,4.75,5.75,1.4,4.33,5.5
26/08/2023,Bochum,Dortmund,D,7,5,1.4,6.5,4.6,1.33
26/08/2023,Darmstadt,Union Berlin,A,4,3.3,1.95,3.6,3.25,1.85
26/08/2023,FC Koln,Wolfsburg,A,2.3,3.4,3,2.1,3.3,2.88
26/08/2023,Freiburg,Werder Bremen,H,1.7,3.75,4.75,1.6,3.7,4.4
26/08/2023,Heidenheim,Hoffenheim,A,3,3.6,2.25,2.8,3.3,2.15
26/08/2023,M'gladbach,Leverkusen,A,3.8,3.8,1.85,3.3,3.7,1.8
27/08/2023,Mainz,Ein Frankfurt,D,2.38,3.5,2.88,2.38,3.25,2.5
27/08/2023,Bayern Munich,Augsburg,H,1.08,12,19,1.04,9.5,17
01/09/2023,Dortmund,Heidenheim,D,1.25,7,9.5,1.18,5.8,9.5
02/09/2023,Augsburg,Bochum,D,2,3.75,3.75,1.83,3.5,3.4
02/09/2023,Hoffenheim,Wolfsburg,H,2.5,3.6,2.63,2.15,3.6,2.6
02/09/2023,Leverkusen,Darmstadt,H,1.2,7,12,1.14,6,12
02/09/2023,Stuttgart,Freiburg,H,2.2,3.5,3.2,1.95,3.3,3.2
